variety_name,summary,stature,leaf_tip_color,bean_size,yield_potential,quality_potential_at_high_altitude,optimal_altitude,coffee_leaf_rust,nematode,coffee_berry_disease,year_of_first_production,nutrition_requirement,ripening_of_fruit,cherry_to_green_bean_outturn,planting_density,additional_argonomic_information,type,genetic_description,lineage,breeder,id
Anacafe 14,"Very high yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform.",Dwarf/Compact,Green,Very Large,High,Good,"Medium , High",Resistant,Susceptible,Susceptible,Year 2,High,Late,High,4000-5000 plants/ha (using single-stem pruning),Anacafe 14 is drought tolerant. Anacafe 14 is not uniform; plants are not stable from one generation to the next.,Arabica,Introgressed (Catimor related),(Timor Hybrid 832/1 x Caturra) x Pacamara,National Coffee Association of Guatemala (ANACAFE_) ,1
Batian,"A tall variety that combines high yields, tolerance to coffee leaf rust, resistance to coffee berry disease, and good cup quality.",Tall,Green or Bronze,Very Large,High,Very Good,Low,Tolerant,Susceptible,Resistant,Year 2,Medium,Unknown,High,2000-3000 plants/ha (using multiple-stem pruning),"Well-adapted for smallholders because of its rare combination of being a tall variety with disease resistance and resillience (e.g., can cope with low management and adverse environmental conditions).",Arabica,Introgressed (Other),"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid","Coffee Research Foundation (now Kenya Agricultural and Livestock Research Organization, KALRO)",2
Bourbon,"One of the most culturally and genetically important C. arabica varieties in the world, known for excellent quality in the cup at the highest altitudes.",Tall,Green,Average,Medium,Very Good,High,Susceptible,Susceptible,Susceptible,Year 4,Medium,Early,Average,3000-4000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),Bourbon-like genetic background,None,3
Bourbon Mayaguez 139,Vigorous and highly productive tall variety with very good cup quality. Found commonly in Rwanda and Burundi.,Tall,Bronze,Large,High,Very Good,High,Susceptible,Unknown,Susceptible,Year 3,Medium,Average,Average,2000-3000 plants/ha (using multiple-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),Bourbon-like genetic background,Rwanda Agricultural Board (RAB),4
Bourbon Mayaguez 71,"Moderate yield, good cup potential, and susceptible to major diseases. Adapted for medium altitudes. Found commonly in Rwanda and Burundi.",Tall,Bronze,Large,Medium,Good,"Medium , High",Susceptible,Unknown,Susceptible,Year 3,Medium,Unknown,Average,1000-2000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Bourbon related),Bourbon-like genetic background,Rwanda Agricultural Board (RAB),5
Caripe,Very good cup quality with large beans. An important regional variety in Monagas state in northeastern Venezuela. ,Tall,Green,Large,Medium,Very Good,"Medium , High",Susceptible,Susceptible,Susceptible,Year 3,Medium,Average,Average,2000-3000 plants/ha (using multiple-stem pruning),Highly adapted for commercial production in Monagas State in northeastern Venezuela. ,Arabica,Bourbon-Typica group (Typica related),A selection of the Typica variety. ,Gustavo Buonafina Parra ,6
Casiopea,"High yielding variety, with exceptional quality at elevations above 1300 meters.",Dwarf/Compact,Bronze,Large,High,Exceptional,High,Susceptible,Susceptible,Susceptible,Year 3,High,Average,Very High,4000-5000 plants/ha (using single-stem pruning),"An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Arabica,F1 hybrid (not introgressed),"Caturra x Ethiopian wild accession ""ET41"" (CATIE collection)",CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,7
Catimor 129,"High yielding/Dwarf/Compact variety resistant to coffee leaf rust and coffee berry disease. Found commonly in Malawi, Zambia, and Zimbabwe.",Dwarf/Compact,Green,Large,Very High,Good,High,Resistant,Susceptible,Resistant,Year 2,High,Average,Average,3000-4000 plants/ha (using single-stem pruning),Requires careful management to maximize yield without overbearing.,Arabica,Introgressed (Catimor related),Selection of a Catimor breeding line from Colombia (Caturra x Timor Hybrid 1343),Cenicafe,8
Catisic,Adapted to warmest zones and acidic soils. High yielding.,Dwarf/Compact,Bronze,Average,High,Very Low,"Low , Medium",Resistant,Susceptible,Susceptible,Year 3,High,Average,Low,5000-6000 plants/ha (using single-stem pruning),Susceptible to Ojo de Gallo. Adapted to warmest zones and acidic soils.,Arabica,Introgressed (Catimor related),Timor Hybrid 832/1 x Caturra,Instituto Salvadore,9
Catuai,A compact plant with high yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.,Dwarf/Compact,Green,Average,Good,Good,High,Susceptible,Susceptible,Susceptible,Year 3,High,Average,Average,5000-6000 plants/ha (using single-stem pruning),,Arabica,Bourbon-Typica group (Typica and Bourbon related),Mundo Novo x Caturra,"Instituto Agronômico (IAC), Brazil",10
